,broad_type
0,Astrocyte
1,Astrocyte
2,Astrocyte
3,Astrocyte
4,Astrocyte
5,Astrocyte
6,Astrocyte
7,Astrocyte
8,Astrocyte
9,Astrocyte
10,Astrocyte
11,Astrocyte
12,Astrocyte
13,Astrocyte
14,Astrocyte
15,Astrocyte
16,Astrocyte
17,Astrocyte
18,Astrocyte
19,Astrocyte
20,Astrocyte
21,Astrocyte
22,Astrocyte
23,Astrocyte
24,Astrocyte
25,Astrocyte
26,Astrocyte
27,Astrocyte
28,Astrocyte
29,Astrocyte
30,Astrocyte
31,Astrocyte
32,Astrocyte
33,Astrocyte
34,Astrocyte
35,Astrocyte
36,Astrocyte
37,Astrocyte
38,Astrocyte
39,Astrocyte
40,Astrocyte
41,Astrocyte
42,Astrocyte
43,GABA-ergic Neuron
44,GABA-ergic Neuron
45,GABA-ergic Neuron
46,GABA-ergic Neuron
47,GABA-ergic Neuron
48,GABA-ergic Neuron
49,GABA-ergic Neuron
50,GABA-ergic Neuron
51,GABA-ergic Neuron
52,GABA-ergic Neuron
53,GABA-ergic Neuron
54,GABA-ergic Neuron
55,GABA-ergic Neuron
56,Endothelial Cell
57,Endothelial Cell
58,Endothelial Cell
59,Endothelial Cell
60,Endothelial Cell
61,Endothelial Cell
62,Endothelial Cell
63,Endothelial Cell
64,Endothelial Cell
65,Endothelial Cell
66,Endothelial Cell
67,Endothelial Cell
68,Endothelial Cell
69,Endothelial Cell
70,Endothelial Cell
71,Endothelial Cell
72,Endothelial Cell
73,Endothelial Cell
74,Endothelial Cell
75,Endothelial Cell
76,Endothelial Cell
77,Endothelial Cell
78,Endothelial Cell
79,Endothelial Cell
80,Endothelial Cell
81,Endothelial Cell
82,Endothelial Cell
83,Endothelial Cell
84,Endothelial Cell
85,GABA-ergic Neuron
86,GABA-ergic Neuron
87,GABA-ergic Neuron
88,GABA-ergic Neuron
89,GABA-ergic Neuron
90,GABA-ergic Neuron
91,GABA-ergic Neuron
92,GABA-ergic Neuron
93,GABA-ergic Neuron
94,GABA-ergic Neuron
95,Glutamatergic Neuron
96,Glutamatergic Neuron
97,Glutamatergic Neuron
98,Glutamatergic Neuron
99,Glutamatergic Neuron
100,Glutamatergic Neuron
101,Glutamatergic Neuron
102,Glutamatergic Neuron
103,Glutamatergic Neuron
104,Glutamatergic Neuron
105,Glutamatergic Neuron
106,Glutamatergic Neuron
107,Glutamatergic Neuron
108,Glutamatergic Neuron
109,Glutamatergic Neuron
110,Glutamatergic Neuron
111,Glutamatergic Neuron
112,Glutamatergic Neuron
113,Glutamatergic Neuron
114,Glutamatergic Neuron
115,Glutamatergic Neuron
116,Glutamatergic Neuron
117,Glutamatergic Neuron
118,Glutamatergic Neuron
119,Glutamatergic Neuron
120,Glutamatergic Neuron
121,Glutamatergic Neuron
122,Glutamatergic Neuron
123,Glutamatergic Neuron
124,Glutamatergic Neuron
125,Glutamatergic Neuron
126,Glutamatergic Neuron
127,Glutamatergic Neuron
128,Glutamatergic Neuron
129,Glutamatergic Neuron
130,Glutamatergic Neuron
131,Glutamatergic Neuron
132,Glutamatergic Neuron
133,Glutamatergic Neuron
134,Glutamatergic Neuron
135,Glutamatergic Neuron
136,Glutamatergic Neuron
137,Glutamatergic Neuron
138,Glutamatergic Neuron
139,Glutamatergic Neuron
140,Glutamatergic Neuron
141,Glutamatergic Neuron
142,Glutamatergic Neuron
143,Glutamatergic Neuron
144,Glutamatergic Neuron
145,Glutamatergic Neuron
146,Glutamatergic Neuron
147,Glutamatergic Neuron
148,Glutamatergic Neuron
149,Glutamatergic Neuron
150,Glutamatergic Neuron
151,Glutamatergic Neuron
152,Glutamatergic Neuron
153,Glutamatergic Neuron
154,Glutamatergic Neuron
155,Glutamatergic Neuron
156,Glutamatergic Neuron
157,Glutamatergic Neuron
158,Glutamatergic Neuron
159,Glutamatergic Neuron
160,Glutamatergic Neuron
161,Glutamatergic Neuron
162,Glutamatergic Neuron
163,Glutamatergic Neuron
164,Glutamatergic Neuron
165,Glutamatergic Neuron
166,Glutamatergic Neuron
167,Glutamatergic Neuron
168,Glutamatergic Neuron
169,Glutamatergic Neuron
170,Glutamatergic Neuron
171,Glutamatergic Neuron
172,Glutamatergic Neuron
173,Glutamatergic Neuron
174,Glutamatergic Neuron
175,Glutamatergic Neuron
176,Glutamatergic Neuron
177,Glutamatergic Neuron
178,Glutamatergic Neuron
179,Glutamatergic Neuron
180,Glutamatergic Neuron
181,Glutamatergic Neuron
182,Glutamatergic Neuron
183,Glutamatergic Neuron
184,Glutamatergic Neuron
185,Glutamatergic Neuron
186,Glutamatergic Neuron
187,Glutamatergic Neuron
188,Glutamatergic Neuron
189,Glutamatergic Neuron
190,Glutamatergic Neuron
191,Glutamatergic Neuron
192,Glutamatergic Neuron
193,Glutamatergic Neuron
194,Glutamatergic Neuron
195,Glutamatergic Neuron
196,Glutamatergic Neuron
197,Glutamatergic Neuron
198,Glutamatergic Neuron
199,Glutamatergic Neuron
200,Glutamatergic Neuron
201,Glutamatergic Neuron
202,Glutamatergic Neuron
203,Glutamatergic Neuron
204,Glutamatergic Neuron
205,Glutamatergic Neuron
206,Glutamatergic Neuron
207,Glutamatergic Neuron
208,Glutamatergic Neuron
209,Glutamatergic Neuron
210,Glutamatergic Neuron
211,Glutamatergic Neuron
212,Glutamatergic Neuron
213,Glutamatergic Neuron
214,Glutamatergic Neuron
215,Glutamatergic Neuron
216,Glutamatergic Neuron
217,Glutamatergic Neuron
218,Glutamatergic Neuron
219,Glutamatergic Neuron
220,Glutamatergic Neuron
221,Glutamatergic Neuron
222,Glutamatergic Neuron
223,Glutamatergic Neuron
224,Glutamatergic Neuron
225,Glutamatergic Neuron
226,Glutamatergic Neuron
227,Glutamatergic Neuron
228,Glutamatergic Neuron
229,Glutamatergic Neuron
230,Glutamatergic Neuron
231,Glutamatergic Neuron
232,Glutamatergic Neuron
233,Glutamatergic Neuron
234,Glutamatergic Neuron
235,Glutamatergic Neuron
236,Glutamatergic Neuron
237,Glutamatergic Neuron
238,Glutamatergic Neuron
239,Glutamatergic Neuron
240,Glutamatergic Neuron
241,Glutamatergic Neuron
242,Glutamatergic Neuron
243,Glutamatergic Neuron
244,Glutamatergic Neuron
245,Glutamatergic Neuron
246,Glutamatergic Neuron
247,Glutamatergic Neuron
248,Glutamatergic Neuron
249,Glutamatergic Neuron
250,Glutamatergic Neuron
251,Glutamatergic Neuron
252,Glutamatergic Neuron
253,Glutamatergic Neuron
254,Glutamatergic Neuron
255,Glutamatergic Neuron
256,Glutamatergic Neuron
257,Glutamatergic Neuron
258,Glutamatergic Neuron
259,Glutamatergic Neuron
260,Glutamatergic Neuron
261,Glutamatergic Neuron
262,Glutamatergic Neuron
263,Glutamatergic Neuron
264,Glutamatergic Neuron
265,Glutamatergic Neuron
266,Glutamatergic Neuron
267,Glutamatergic Neuron
268,Glutamatergic Neuron
269,Glutamatergic Neuron
270,Glutamatergic Neuron
271,Glutamatergic Neuron
272,Glutamatergic Neuron
273,Glutamatergic Neuron
274,Glutamatergic Neuron
275,Glutamatergic Neuron
276,Glutamatergic Neuron
277,Glutamatergic Neuron
278,Glutamatergic Neuron
279,Glutamatergic Neuron
280,Glutamatergic Neuron
281,Glutamatergic Neuron
282,Glutamatergic Neuron
283,Glutamatergic Neuron
284,Glutamatergic Neuron
285,Glutamatergic Neuron
286,Glutamatergic Neuron
287,Glutamatergic Neuron
288,Glutamatergic Neuron
289,Glutamatergic Neuron
290,Glutamatergic Neuron
291,Glutamatergic Neuron
292,Glutamatergic Neuron
293,Glutamatergic Neuron
294,Glutamatergic Neuron
295,Glutamatergic Neuron
296,Glutamatergic Neuron
297,Glutamatergic Neuron
298,Glutamatergic Neuron
299,Glutamatergic Neuron
300,Glutamatergic Neuron
301,Glutamatergic Neuron
302,Glutamatergic Neuron
303,Glutamatergic Neuron
304,Glutamatergic Neuron
305,Glutamatergic Neuron
306,Glutamatergic Neuron
307,Glutamatergic Neuron
308,Glutamatergic Neuron
309,Glutamatergic Neuron
310,Glutamatergic Neuron
311,Glutamatergic Neuron
312,Glutamatergic Neuron
313,Glutamatergic Neuron
314,Glutamatergic Neuron
315,Glutamatergic Neuron
316,Glutamatergic Neuron
317,Glutamatergic Neuron
318,Glutamatergic Neuron
319,Glutamatergic Neuron
320,Glutamatergic Neuron
321,Glutamatergic Neuron
322,Glutamatergic Neuron
323,Glutamatergic Neuron
324,Glutamatergic Neuron
325,Glutamatergic Neuron
326,Glutamatergic Neuron
327,Glutamatergic Neuron
328,Glutamatergic Neuron
329,Glutamatergic Neuron
330,Glutamatergic Neuron
331,Glutamatergic Neuron
332,Glutamatergic Neuron
333,Glutamatergic Neuron
334,Glutamatergic Neuron
